Date,AAPL,JNJ,CSCO,GE,PG,WMT,JPM,XOM
2017-01-03,116.1500015258789,115.83999633789062,30.540000915527344,30.471153259277344,84.19999694824219,68.66000366210938,87.2300033569336,90.88999938964844
2017-01-04,116.0199966430664,115.6500015258789,30.100000381469727,30.480770111083984,84.5,69.05999755859375,86.91000366210938,89.88999938964844
2017-01-05,116.61000061035156,116.86000061035156,30.170000076293945,30.30769157409668,85.05999755859375,69.20999908447266,86.11000061035156,88.55000305175781
2017-01-06,117.91000366210938,116.3000030517578,30.229999542236328,30.394229888916016,85.02999877929688,68.26000213623047,86.12000274658203,88.5
2017-01-09,118.98999786376952,116.27999877929688,30.18000030517578,30.25,84.4000015258789,68.70999908447266,86.18000030517578,87.04000091552734
2017-01-10,119.11000061035156,116.16000366210938,30.3799991607666,30.163461685180664,83.48999786376953,68.2300033569336,86.43000030517578,85.93000030517578
2017-01-11,119.75,114.7300033569336,30.149999618530277,30.259614944458008,83.75,68.52999877929688,87.08000183105469,86.80999755859375
2017-01-12,119.25,114.62000274658205,30.040000915527344,30.18269157409668,83.83999633789062,67.97000122070312,86.23999786376953,86.33999633789062
2017-01-13,119.04000091552734,114.5999984741211,30.06999969482422,30.153846740722656,84.01000213623047,67.12999725341797,86.69999694824219,86.3499984741211
2017-01-17,120.0,114.87000274658205,29.989999771118164,30.06730842590332,85.20999908447266,68.41999816894531,83.55000305175781,87.36000061035156
2017-01-18,119.98999786376952,114.6999969482422,30.030000686645508,30.028846740722656,84.93000030517578,68.11000061035156,83.94000244140625,86.27999877929688
2017-01-19,119.77999877929688,114.1999969482422,29.979999542236328,30.009614944458008,84.69999694824219,67.62000274658203,83.30000305175781,84.7300033569336
2017-01-20,120.0,114.1500015258789,30.100000381469727,29.355770111083984,87.44999694824219,67.18000030517578,83.66999816894531,85.88999938964844
2017-01-23,120.08000183105467,113.91000366210938,30.270000457763672,28.605770111083984,86.95999908447266,66.6500015258789,83.70999908447266,84.97000122070312
2017-01-24,119.97000122070312,111.76000213623048,30.600000381469727,28.846153259277344,87.86000061035156,67.4000015258789,84.72000122070312,85.08999633789062
2017-01-25,121.87999725341795,112.8000030517578,30.700000762939453,29.201923370361328,87.16000366210938,66.88999938964844,86.02999877929688,85.33999633789062
2017-01-26,121.94000244140624,111.83999633789062,30.739999771118164,29.153846740722656,86.5999984741211,66.7300033569336,86.75,85.5999984741211
2017-01-27,121.9499969482422,113.37999725341795,30.979999542236328,28.855770111083984,86.72000122070312,65.66000366210938,86.93000030517578,85.51000213623047
2017-01-30,121.62999725341795,113.12999725341795,30.82999992370605,28.80769157409668,86.75,66.41999816894531,86.02999877929688,84.86000061035156
2017-01-31,121.3499984741211,113.25,30.71999931335449,28.55769157409668,87.5999984741211,66.73999786376953,84.62999725341797,83.88999938964844
2017-02-01,128.75,113.2300033569336,30.5,28.548076629638672,87.33000183105469,66.2300033569336,84.94999694824219,82.94000244140625
2017-02-02,128.52999877929688,113.56999969482422,31.18000030517578,28.538461685180664,87.76000213623047,66.69999694824219,84.58999633789062,83.44999694824219
2017-02-03,129.0800018310547,113.63999938964844,31.31999969482422,28.55769157409668,87.41000366210938,66.5,87.18000030517578,83.54000091552734
2017-02-06,130.2899932861328,113.4000015258789,31.299999237060547,28.519229888916016,87.4000015258789,66.4000015258789,86.7699966430664,83.30999755859375
2017-02-07,131.52999877929688,113.4800033569336,31.450000762939453,28.423076629638672,88.01000213623047,66.88999938964844,86.72000122070312,82.7699966430664
2017-02-08,132.0399932861328,113.4000015258789,31.270000457763672,28.298076629638672,88.33000183105469,67.80999755859375,85.95999908447266,81.4800033569336
2017-02-09,132.4199981689453,114.08000183105467,31.5,28.451923370361328,88.66999816894531,69.08000183105469,87.19999694824219,81.83999633789062
2017-02-10,132.1199951171875,115.23999786376952,31.51000022888184,28.576923370361328,87.97000122070312,68.0199966430664,87.0,82.5199966430664
2017-02-13,133.2899932861328,115.87999725341795,31.96999931335449,28.884614944458008,88.30999755859375,67.7699966430664,88.1500015258789,83.0
2017-02-14,135.02000427246094,116.36000061035156,32.310001373291016,29.115385055541992,87.86000061035156,68.66000366210938,89.55999755859375,82.81999969482422
2017-02-15,135.50999450683594,117.1999969482422,32.81999969482422,29.18269157409668,91.12000274658205,68.69000244140625,90.58999633789062,83.16000366210938
2017-02-16,135.35000610351562,118.08000183105467,33.599998474121094,29.278846740722656,90.79000091552734,68.87000274658203,90.52999877929688,82.30000305175781
2017-02-17,135.72000122070312,118.86000061035156,33.7400016784668,29.201923370361328,91.08999633789062,69.37000274658203,90.2300033569336,81.76000213623047
2017-02-21,136.6999969482422,119.66000366210938,34.130001068115234,29.346153259277344,91.66999816894533,71.44999694824219,91.01000213623048,81.88999938964844
2017-02-22,137.11000061035156,119.5199966430664,34.09000015258789,29.163461685180664,91.44000244140624,71.70999908447266,91.05999755859376,80.93000030517578
